year-month-day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2010-1-6,21,132,-21,-14,1034,NW,3.58,0,0
2010-1-6,22,93,-22,-16,1035,NW,5.37,0,0
2010-1-6,23,131,-21,-16,1035,NW,7.16,0,0
2010-1-7,0,127,-21,-16,1035,NW,8.95,0,0
2010-1-7,1,130,-21,-16,1035,cv,0.45,0,0
2010-1-7,2,43,-22,-18,1036,cv,1.34,0,0
2010-1-7,3,37,-23,-15,1036,NW,4.02,0,0
2010-1-7,4,30,-24,-16,1035,NW,7.15,0,0
2010-1-7,5,28,-25,-15,1035,NW,10.28,0,0
2010-1-7,6,24,-24,-15,1035,NW,14.3,0,0
2010-1-7,7,23,-25,-13,1036,NE,4.92,0,0
2010-1-7,8,24,-24,-14,1036,NW,4.02,0,0
2010-1-7,9,27,-23,-12,1036,NW,8.94,0,0
2010-1-7,10,40,-22,-11,1036,NW,12.96,0,0
2010-1-7,11,42,-20,-10,1036,NW,16.09,0,0
2010-1-7,12,42,-21,-9,1035,NW,19.22,0,0
2010-1-7,13,55,-21,-8,1034,NW,21.01,0,0
2010-1-7,14,52,-20,-7,1033,NW,22.8,0,0
2010-1-7,15,51,-20,-7,1032,NW,24.59,0,0
2010-1-7,16,57,-18,-8,1032,NW,26.38,0,0
2010-1-7,17,50,-19,-9,1032,NW,28.17,0,0
2010-1-7,18,54,-19,-11,1032,NE,0.89,0,0
2010-1-7,19,67,-18,-11,1033,NW,1.79,0,0
2010-1-7,20,106,-19,-15,1032,NE,1.79,0,0
2010-1-7,21,159,-19,-14,1032,cv,0.45,0,0
2010-1-7,22,198,-21,-14,1032,cv,1.34,0,0
2010-1-7,23,190,-21,-16,1032,cv,2.23,0,0
2010-1-8,0,210,-21,-17,1031,NW,1.79,0,0
2010-1-8,1,195,-19,-16,1031,NW,3.58,0,0
2010-1-8,2,275,-20,-16,1031,NE,0.89,0,0
2010-1-8,3,164,-19,-15,1030,SE,0.89,0,0
2010-1-8,4,110,-18,-15,1030,cv,0.45,0,0
2010-1-8,5,100,-18,-15,1029,cv,1.34,0,0
2010-1-8,6,81,-18,-15,1029,NW,1.79,0,0
2010-1-8,7,71,-16,-13,1029,NE,0.89,0,0
2010-1-8,8,66,-16,-12,1029,SE,0.89,0,0
2010-1-8,9,92,-16,-12,1030,SE,1.78,0,0
2010-1-8,10,135,-17,-10,1030,NE,0.89,0,0
2010-1-8,11,155,-16,-10,1029,cv,0.89,0,0
2010-1-8,12,198,-16,-9,1028,SE,3.13,0,0
2010-1-8,13,250,-15,-8,1026,SE,4.92,0,0
2010-1-8,14,200,-16,-8,1026,cv,0.89,0,0
2010-1-8,15,231,-16,-8,1025,cv,1.78,0,0
2010-1-8,16,250,-16,-8,1025,cv,2.67,0,0
2010-1-8,17,212,-17,-8,1025,SE,0.89,0,0
2010-1-8,18,219,-17,-9,1026,cv,0.45,0,0
2010-1-8,19,227,-17,-11,1026,cv,1.34,0,0
2010-1-8,20,226,-17,-12,1026,cv,1.79,0,0
2010-1-8,21,225,-18,-14,1027,NW,1.79,0,0
2010-1-8,22,168,-16,-9,1027,NW,4.92,0,0
2010-1-8,23,169,-16,-11,1027,NW,6.71,0,0
2010-1-9,0,165,-17,-13,1027,cv,0.89,0,0
2010-1-9,1,159,-17,-13,1027,NW,3.13,0,0
2010-1-9,2,167,-17,-14,1027,NW,4.92,0,0
2010-1-9,3,196,-17,-15,1027,NW,8.05,0,0
2010-1-9,4,169,-17,-13,1027,NW,9.84,0,0
2010-1-9,5,155,-19,-16,1027,NW,13.86,0,0
2010-1-9,6,119,-18,-15,1027,NW,17.88,0,0
2010-1-9,7,106,-19,-15,1027,NW,21.9,0,0
2010-1-9,8,93,-18,-14,1028,NW,25.92,0,0
2010-1-9,9,84,-18,-9,1029,NE,5.81,0,0
2010-1-9,10,73,-17,-7,1029,NE,11.62,0,0
2010-1-9,11,66,-17,-6,1030,NE,17.43,0,0
2010-1-9,12,40,-16,-6,1029,NE,23.24,0,0
2010-1-9,13,49,-16,-5,1029,NE,28.16,0,0
2010-1-9,14,50,-15,-4,1029,NE,33.08,0,0
2010-1-9,15,49,-14,-4,1028,NE,37.1,0,0
2010-1-9,16,41,-15,-4,1029,NE,38.89,0,0
2010-1-9,17,37,-15,-4,1030,NW,1.79,0,0
2010-1-9,18,45,-15,-7,1030,NE,3.13,0,0
2010-1-9,19,44,-15,-6,1031,NW,3.13,0,0
2010-1-9,20,54,-15,-7,1032,NW,4.92,0,0
2010-1-9,21,50,-15,-6,1032,NE,3.13,0,0
2010-1-9,22,47,-15,-8,1033,cv,0.45,0,0
2010-1-9,23,66,-15,-8,1033,cv,0.9,0,0
2010-1-10,0,75,-15,-11,1033,NW,0.89,0,0
2010-1-10,1,82,-17,-13,1033,NW,1.78,0,0
2010-1-10,2,66,-17,-12,1033,NW,4.91,0,0
2010-1-10,3,83,-17,-13,1033,NW,8.04,0,0
2010-1-10,4,62,-19,-14,1032,NW,9.83,0,0
2010-1-10,5,40,-18,-13,1032,NW,12.96,0,0
2010-1-10,6,23,-19,-13,1032,NW,16.09,0,0
2010-1-10,7,25,-19,-14,1033,NW,19.22,0,0
2010-1-10,8,27,-19,-14,1034,NW,22.35,0,0
2010-1-10,9,35,-17,-12,1033,NW,24.14,0,0
2010-1-10,10,50,-16,-7,1033,NE,4.02,0,0
2010-1-10,11,70,-15,-7,1033,NW,3.13,0,0
2010-1-10,12,75,-15,-7,1032,NW,6.26,0,0
2010-1-10,13,58,-14,-6,1031,NW,9.39,0,0
2010-1-10,14,70,-14,-6,1031,NW,12.52,0,0
2010-1-10,15,68,-13,-5,1030,NW,14.31,0,0
2010-1-10,16,71,-14,-5,1031,NW,16.1,0,0
2010-1-10,17,88,-14,-6,1031,NW,19.23,0,0
2010-1-10,18,84,-13,-7,1032,NW,23.25,0,0
2010-1-10,19,83,-15,-6,1032,NW,27.27,0,0
2010-1-10,20,66,-15,-6,1033,NW,30.4,0,0
2010-1-10,21,27,-15,-4,1034,NW,35.32,0,0
2010-1-10,22,24,-16,-4,1034,NW,44.26,0,0
2010-1-10,23,22,-17,-5,1035,NW,52.31,0,0
2010-1-11,0,23,-17,-6,1035,NW,60.36,0,0
2010-1-11,1,27,-17,-8,1035,cv,0.89,0,0
2010-1-11,2,23,-19,-11,1036,NW,4.02,0,0
2010-1-11,3,17,-20,-11,1036,NW,8.94,0,0
2010-1-11,4,17,-21,-11,1035,NE,4.02,0,0
2010-1-11,5,16,-22,-12,1035,NW,3.13,0,0
2010-1-11,6,16,-22,-12,1035,NE,4.92,0,0
2010-1-11,7,20,-22,-13,1036,NW,5.81,0,0
2010-1-11,8,20,-22,-9,1036,NW,13.86,0,0
2010-1-11,9,18,-22,-10,1036,NW,21.91,0,0
2010-1-11,10,25,-22,-9,1036,NW,29.06,0,0
2010-1-11,11,26,-21,-9,1036,NW,33.08,0,0
2010-1-11,12,27,-20,-6,1035,NW,42.02,0,0
2010-1-11,13,28,-19,-5,1034,NW,50.96,0,0
2010-1-11,14,15,-19,-5,1033,NW,59.01,0,0
2010-1-11,15,24,-20,-5,1033,NW,66.16,0,0
2010-1-11,16,13,-20,-5,1032,NW,71.97,0,0
2010-1-11,17,13,-20,-5,1033,NW,76.89,0,0
2010-1-11,18,13,-20,-7,1033,NW,81.81,0,0
2010-1-11,19,17,-22,-7,1033,NW,85.83,0,0
2010-1-11,20,20,-22,-8,1033,NW,89.85,0,0
2010-1-11,21,27,-23,-10,1033,NW,91.64,0,0
2010-1-11,22,20,-23,-13,1033,NW,93.43,0,0
2010-1-11,23,15,-22,-12,1032,cv,0.89,0,0
2010-1-12,0,21,-22,-15,1031,cv,1.78,0,0
2010-1-12,1,21,-22,-14,1031,NE,1.79,0,0
2010-1-12,2,37,-22,-14,1031,NW,0.89,0,0
2010-1-12,3,26,-24,-18,1030,NE,1.79,0,0
2010-1-12,4,15,-24,-13,1030,NE,3.58,0,0
2010-1-12,5,9,-25,-14,1030,NW,3.13,0,0
2010-1-12,6,11,-24,-14,1030,NW,7.15,0,0
2010-1-12,7,11,-25,-12,1030,NW,12.96,0,0
2010-1-12,8,16,-26,-14,1030,NW,16.98,0,0
2010-1-12,9,13,-25,-12,1031,NW,21,0,0
2010-1-12,10,15,-25,-11,1031,NW,26.81,0,0
2010-1-12,11,21,-24,-11,1030,NW,35.75,0,0
2010-1-12,12,24,-23,-11,1029,NW,47.82,0,0
2010-1-12,13,22,-22,-11,1029,NW,63.02,0,0
2010-1-12,14,22,-23,-11,1029,NW,75.98,0,0
2010-1-12,15,22,-22,-11,1029,NW,88.05,0,0
2010-1-12,16,19,-23,-11,1030,NW,101.01,0,0
2010-1-12,17,23,-24,-11,1030,NW,109.06,0,0
2010-1-12,18,25,-24,-11,1032,NW,118,0,0
2010-1-12,19,25,-23,-11,1032,NW,126.05,0,0
2010-1-12,20,31,-23,-12,1032,NW,134.1,0,0
2010-1-12,21,25,-24,-12,1033,NW,142.15,0,0
2010-1-12,22,22,-23,-12,1033,NW,150.2,0,0
2010-1-12,23,22,-23,-12,1034,NW,160.03,0,0
2010-1-13,0,15,-24,-12,1034,NW,169.86,0,0
2010-1-13,1,16,-24,-12,1033,NW,178.8,0,0
2010-1-13,2,11,-25,-12,1033,NW,189.98,0,0
2010-1-13,3,11,-24,-13,1033,NW,198.03,0,0
2010-1-13,4,12,-25,-12,1032,NW,205.18,0,0
2010-1-13,5,11,-25,-12,1033,NW,215.01,0,0
2010-1-13,6,12,-25,-12,1032,NW,226.19,0,0
2010-1-13,7,27,-25,-12,1032,NW,235.13,0,0
2010-1-13,8,28,-25,-12,1032,NW,243.18,0,0
2010-1-13,9,34,-23,-11,1033,NW,252.12,0,0
2010-1-13,10,33,-23,-10,1033,NW,257.93,0,0
2010-1-13,11,36,-22,-9,1033,NW,263.74,0,0
2010-1-13,12,26,-21,-8,1031,NW,270.89,0,0
2010-1-13,13,49,-21,-6,1030,NW,278.94,0,0
2010-1-13,14,52,-20,-5,1029,NW,286.99,0,0
2010-1-13,15,47,-22,-5,1028,NW,294.14,0,0
2010-1-13,16,47,-21,-5,1028,NW,299.06,0,0
2010-1-13,17,39,-19,-7,1028,SE,1.79,0,0
2010-1-13,18,59,-19,-8,1028,cv,0.45,0,0
2010-1-13,19,76,-20,-9,1028,cv,1.34,0,0
2010-1-13,20,96,-19,-10,1027,SE,1.79,0,0
2010-1-13,21,95,-19,-13,1027,cv,0.89,0,0
2010-1-13,22,68,-18,-12,1027,cv,1.78,0,0
2010-1-13,23,65,-18,-13,1027,NE,0.89,0,0
2010-1-14,0,75,-18,-14,1026,NE,1.78,0,0
2010-1-14,1,257,-20,-15,1025,NE,2.67,0,0
2010-1-14,2,174,-20,-15,1025,NW,0.89,0,0
2010-1-14,3,164,-20,-16,1025,NW,1.78,0,0
2010-1-14,4,161,-20,-16,1024,NW,3.57,0,0
2010-1-14,5,137,-21,-17,1024,NW,6.7,0,0
2010-1-14,6,92,-19,-14,1023,NW,10.72,0,0
2010-1-14,7,64,-21,-17,1023,NW,13.85,0,0
2010-1-14,8,87,-19,-15,1024,NW,15.64,0,0
2010-1-14,9,87,-19,-14,1024,NW,18.77,0,0
2010-1-14,10,84,-18,-10,1024,NW,22.79,0,0
2010-1-14,11,95,-17,-9,1023,NW,24.58,0,0
2010-1-14,12,79,-16,-6,1023,NW,26.37,0,0
2010-1-14,13,75,-17,-5,1022,NW,28.16,0,0
2010-1-14,14,79,-16,-5,1022,NW,29.95,0,0
2010-1-14,15,86,-15,-4,1022,NW,33.08,0,0
2010-1-14,16,72,-16,-4,1023,cv,0.89,0,0
2010-1-14,17,89,-15,-5,1025,SE,1.79,0,0
2010-1-14,18,94,-14,-3,1026,NW,5.81,0,0
2010-1-14,19,69,-16,-3,1027,NW,11.62,0,0
2010-1-14,20,49,-15,-4,1029,NW,20.56,0,0
2010-1-14,21,33,-16,-5,1031,NW,24.58,0,0
2010-1-14,22,27,-17,-6,1032,NE,3.13,0,0
2010-1-14,23,20,-18,-6,1033,NE,8.05,0,0
2010-1-15,0,36,-19,-7,1034,NE,13.86,0,0
2010-1-15,1,37,-17,-8,1035,NW,5.81,0,0
2010-1-15,2,30,-18,-10,1035,NW,11.62,0,0
2010-1-15,3,18,-19,-10,1036,NW,14.75,0,0
2010-1-15,4,21,-19,-9,1036,NW,19.67,0,0
2010-1-15,5,13,-19,-9,1036,NE,7.15,0,0
2010-1-15,6,23,-20,-9,1037,NE,12.96,0,0
2010-1-15,7,26,-19,-9,1037,NE,18.77,0,0
2010-1-15,8,27,-19,-8,1038,NE,22.79,0,0
2010-1-15,9,30,-19,-8,1039,NE,28.6,0,0
2010-1-15,10,28,-19,-7,1039,NE,35.75,0,0
2010-1-15,11,26,-18,-6,1039,NE,41.56,0,0
2010-1-15,12,26,-18,-5,1039,NE,45.58,0,0
2010-1-15,13,31,-17,-4,1038,NW,1.79,0,0
2010-1-15,14,35,-16,-3,1037,cv,0.89,0,0
2010-1-15,15,36,-17,-3,1037,cv,1.78,0,0
2010-1-15,16,37,-17,-2,1037,cv,2.23,0,0
2010-1-15,17,64,-15,-5,1036,SE,0.89,0,0
2010-1-15,18,83,-15,-6,1036,cv,0.89,0,0
2010-1-15,19,91,-15,-6,1037,cv,1.78,0,0
2010-1-15,20,90,-14,-6,1037,SE,1.79,0,0
2010-1-15,21,102,-14,-8,1036,SE,3.58,0,0
2010-1-15,22,94,-14,-10,1037,cv,0.89,0,0
2010-1-15,23,87,-15,-11,1036,cv,1.78,0,0
2010-1-16,0,141,-15,-11,1036,cv,2.67,0,0
2010-1-16,1,211,-16,-13,1036,NE,0.89,0,0
2010-1-16,2,242,-16,-12,1036,cv,0.89,0,0
2010-1-16,3,271,-16,-13,1035,NE,0.89,0,0
2010-1-16,4,249,-15,-12,1035,NE,1.78,0,0
2010-1-16,5,200,-14,-10,1034,NW,1.79,0,0
2010-1-16,6,147,-15,-10,1034,NW,2.68,0,0
2010-1-16,7,114,-15,-11,1034,NW,4.47,0,0
2010-1-16,8,102,-15,-11,1034,NW,6.26,0,0
2010-1-16,9,108,-14,-9,1034,NW,8.05,0,0
2010-1-16,10,135,-14,-9,1034,NW,9.84,0,0
2010-1-16,11,120,-13,-6,1034,cv,0.89,0,0
2010-1-16,12,148,-13,-5,1033,NW,1.79,0,0
2010-1-16,13,127,-12,-4,1031,cv,0.89,0,0
2010-1-16,14,128,-12,-3,1031,cv,1.78,0,0
2010-1-16,15,140,-12,-3,1030,cv,2.67,0,0
2010-1-16,16,148,-11,-3,1030,cv,3.56,0,0
2010-1-16,17,150,-11,-4,1031,NE,0.89,0,0
2010-1-16,18,154,-12,-7,1031,cv,0.89,0,0
2010-1-16,19,197,-12,-7,1032,cv,1.78,0,0
2010-1-16,20,235,-12,-8,1032,cv,2.23,0,0
2010-1-16,21,261,-12,-9,1032,cv,3.12,0,0
2010-1-16,22,269,-13,-11,1032,NW,0.89,0,0
2010-1-16,23,266,-14,-11,1032,NW,2.68,0,0
2010-1-17,0,263,-15,-12,1032,NW,5.81,0,0
2010-1-17,1,241,-14,-11,1032,cv,0.45,0,0
2010-1-17,2,205,-14,-11,1031,cv,1.34,0,0
2010-1-17,3,160,-14,-12,1031,NW,1.79,0,0
2010-1-17,4,150,-14,-12,1031,NW,3.58,0,0
2010-1-17,5,148,-14,-10,1030,NW,6.71,0,0
2010-1-17,6,208,-14,-11,1030,NW,9.84,0,0
2010-1-17,7,209,-15,-10,1030,NW,11.63,0,0
2010-1-17,8,183,-13,-10,1030,NW,14.76,0,0
2010-1-17,9,161,-13,-8,1030,NW,17.89,0,0
2010-1-17,10,182,-12,-6,1030,cv,0.45,0,0
2010-1-17,11,230,-11,-5,1030,cv,1.34,0,0
2010-1-17,12,170,-11,-4,1029,cv,2.23,0,0
2010-1-17,13,172,-11,-3,1028,cv,3.12,0,0
2010-1-17,14,154,-10,-1,1027,cv,4.01,0,0
2010-1-17,15,166,-11,-1,1027,cv,4.46,0,0
2010-1-17,16,177,-10,-1,1026,SE,0.89,0,0
2010-1-17,17,191,-10,-3,1026,SE,1.78,0,0
2010-1-17,18,212,-10,-5,1027,SE,2.67,0,0
2010-1-17,19,250,-10,-6,1027,NE,0.89,0,0
2010-1-17,20,268,-11,-7,1027,cv,0.45,0,0
2010-1-17,21,317,-10,-7,1027,cv,0.9,0,0
2010-1-17,22,291,-11,-9,1027,cv,1.35,0,0
2010-1-17,23,313,-12,-9,1027,NE,0.89,0,0
2010-1-18,0,282,-12,-10,1028,cv,0.89,0,0
2010-1-18,1,282,-13,-11,1028,NW,3.13,0,0
2010-1-18,2,303,-11,-9,1028,NW,4.92,0,0
2010-1-18,3,349,-13,-10,1028,NW,6.71,0,0
2010-1-18,4,407,-13,-11,1028,NW,7.6,0,0
2010-1-18,5,361,-13,-11,1027,NE,1.79,0,0
2010-1-18,6,234,-14,-11,1028,NW,0.89,0,0
2010-1-18,7,149,-14,-11,1028,NW,4.02,0,0
2010-1-18,8,147,-14,-11,1028,NW,5.81,0,0
2010-1-18,9,184,-11,-6,1028,NW,9.83,0,0
2010-1-18,10,161,-10,-5,1028,NW,11.62,0,0
2010-1-18,11,137,-9,-3,1028,NW,13.41,0,0
2010-1-18,12,146,-8,-1,1027,NW,15.2,0,0
2010-1-18,13,144,-9,0,1026,NW,16.99,0,0
2010-1-18,14,154,-9,1,1025,NE,1.79,0,0
2010-1-18,15,173,-9,1,1025,cv,0.89,0,0
2010-1-18,16,188,-8,1,1025,SE,0.89,0,0
2010-1-18,17,203,-7,-1,1025,SE,2.68,0,0
2010-1-18,18,233,-7,-2,1025,cv,0.89,0,0
2010-1-18,19,408,-7,-3,1025,SE,0.89,0,0
2010-1-18,20,435,-5,-2,1026,cv,0.89,0,0
2010-1-18,21,403,-5,-1,1026,NW,1.79,0,0
2010-1-18,22,360,-5,-1,1026,NW,3.58,0,0
2010-1-18,23,402,-6,-1,1026,cv,0.89,0,0
2010-1-19,0,358,-4,-1,1025,NW,1.79,0,0
2010-1-19,1,383,-5,-1,1024,NW,4.92,0,0
2010-1-19,2,332,-5,-1,1024,NW,6.71,0,0
2010-1-19,3,274,-5,-1,1023,NW,8.5,0,0
2010-1-19,4,256,-4,-1,1022,NW,10.29,0,0
2010-1-19,5,302,-4,-1,1021,NW,11.18,0,0
2010-1-19,6,330,-4,-1,1021,NW,12.07,0,0
2010-1-19,7,367,-4,-1,1021,NW,13.86,0,0
2010-1-19,8,297,-4,0,1021,cv,0.89,0,0
2010-1-19,9,331,-4,0,1021,NW,1.79,0,0
2010-1-19,10,323,-4,0,1021,cv,0.89,0,0
2010-1-19,11,339,-5,1,1021,NW,1.79,0,0
2010-1-19,12,301,-5,1,1020,cv,0.89,0,0
2010-1-19,13,310,-4,1,1019,cv,1.34,0,0
2010-1-19,14,305,-4,1,1018,NE,0.89,0,0
2010-1-19,15,313,-3,2,1018,cv,0.45,0,0
